@relation jAudio
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average4" NUMERIC
@ATTRIBUTE classe {dog}
@DATA
6.081E0,3.853E-2,7.791E-4,1.524E2,9.453E-4,3.591E-2,2.573E-2,1.148E1,1.609E1,4.164E0,1.597E-3,3.191E1,5.44E0,5.964E0,3.35E0,4.089E0,2.861E0,2.746E0,2.824E0,1.913E0,2.491E0,2.452E0,1.943E0,2.595E0,2.038E-2,1.896E-1,2.294E-1,1.565E-1,1.318E-1,1.387E-1,1.367E-1,1.042E-1,1.068E-1,0E0,8.514E-2,7.48E0,8.808E2,8.993E4,1.625E7,2.017E1,1.124E-1,2.705E-4,1.505E3,5.29E-4,2.081E-2,7.273E-1,4.615E1,8.885E1,1.473E1,1.541E-2,-1.845E2,8.431E0,-1.08E1,-1.505E0,-1.248E0,-5.964E-1,1.1E0,2.21E0,-5.36E-2,-8.019E-1,-1.367E0,-8.276E-1,8.563E-2,-9.523E-1,7.797E-1,2.029E-3,-4.091E-2,-1.025E-1,7.979E-2,7.644E-2,7.584E-2,3.27E-2,0E0,4.355E-2,3.668E1,1.709E3,1.905E5,3.282E7,dog
1.638E1,1.285E-1,1.923E-3,1.474E2,1.622E-3,6.182E-2,3.307E-2,3.891E1,1.97E1,2.885E0,9.511E-4,2.712E1,6.481E0,8.904E0,3.391E0,3.787E0,2.962E0,2.58E0,3.101E0,1.914E0,2.545E0,2.769E0,2.323E0,2.228E0,1.386E-1,2.986E-1,3.384E-1,2.129E-1,2.006E-1,1.494E-1,1.483E-1,1.233E-1,1.126E-1,0E0,1.291E-1,1.871E1,1.255E3,8.691E4,1.428E7,2.465E1,1.441E-1,8.815E-4,1.506E3,1.077E-3,4.258E-2,7.189E-1,5.803E1,6.634E1,4.586E1,1.283E-2,-1.622E2,7.674E0,-5.428E0,-4.898E0,-2.579E0,-2.405E0,2.148E-1,6.125E-1,-1.272E0,-8.835E-1,-1.248E0,-2.375E-1,3.755E-1,-9.061E-1,6.4E-1,-6.774E-2,1.164E-1,-3.476E-2,1.09E-1,5.152E-2,1.001E-1,5.276E-2,0E0,8.378E-2,4.543E1,2.334E3,1.968E5,3.635E7,dog
3.057E0,2.419E-2,5.949E-3,1.453E2,3.444E-3,1.353E-1,0E0,6.851E0,0E0,0E0,0E0,3.173E1,4.513E0,4.821E0,2.628E0,3.658E0,2.878E0,1.962E0,1.771E0,2.132E0,2.038E0,1.651E0,2.349E0,2.003E0,8.625E-3,1.736E-1,1.26E-1,1.223E-1,1.346E-1,1.048E-1,1.024E-1,1.122E-1,8.4E-2,0E0,1.885E-1,7.74E0,9.42E2,9.561E4,1.74E7,1.623E1,8.258E-2,3.146E-3,1.544E3,3.094E-3,1.227E-1,0E0,3.477E1,0E0,0E0,0E0,-1.425E2,1.417E1,-8.93E0,-6.122E0,-3.421E0,-1.744E0,-2.166E0,-5.15E-1,2.644E0,1.674E0,1.003E0,4.504E-2,-2.8E0,-9.725E-1,7.934E-1,2.417E-1,8.055E-2,-7.428E-2,-9.642E-4,6.31E-3,3.422E-2,3.167E-2,0E0,1.919E-1,3.012E1,1.444E3,1.756E5,3.042E7,dog
6.332E0,7.626E-2,3.02E-3,1.225E2,1.784E-3,6.87E-2,0E0,1.897E1,0E0,0E0,0E0,2.67E1,4.374E0,3.828E0,3.648E0,1.984E0,3.663E0,2.611E0,2.847E0,2.48E0,2.476E0,2.128E0,2.368E0,2.594E0,4.183E-2,2.872E-1,2.137E-1,1.582E-1,1.844E-1,1.361E-1,1.103E-1,9.558E-2,1.232E-1,0E0,1.613E-1,1.339E1,1.167E3,7.147E4,1.395E7,2.292E1,1.318E-1,9.159E-4,1.527E3,7.638E-4,3.028E-2,0E0,5.364E1,0E0,0E0,0E0,-1.697E2,5.178E0,-4.96E0,-4.149E0,6.578E-1,-3.977E0,-2.083E0,-1.87E0,-8.33E-1,-9.482E-1,2.776E-2,8.386E-1,7.781E-1,-9.292E-1,5.243E-1,-5.462E-2,2.046E-1,4.387E-2,-8.781E-3,-7.171E-2,4.058E-2,4.593E-2,0E0,6.643E-2,5.185E1,3.003E3,2.555E5,4.511E7,dog
1.112E1,8.522E-2,5.824E-3,1.4E2,2.179E-3,8.316E-2,0E0,2.798E1,0E0,0E0,0E0,2.85E1,5.825E0,3.706E0,2.684E0,3.289E0,2.878E0,2.717E0,2.359E0,2.258E0,1.581E0,1.815E0,1.906E0,1.637E0,5.646E-2,2.273E-1,1.729E-1,1.507E-1,1.276E-1,1.254E-1,1.956E-1,1.243E-1,1.265E-1,0E0,1.81E-1,1.721E1,1.056E3,6.935E4,1.37E7,1.169E1,7.513E-2,2.192E-3,1.514E3,1.581E-3,6.106E-2,0E0,3.466E1,0E0,0E0,0E0,-1.459E2,4.281E0,-2.638E0,-6.901E-2,-2.048E0,-2.03E0,-2.541E0,-6.142E-1,-6.447E-1,-7.043E-1,4.023E-1,8.547E-1,-8.068E-3,-9.558E-1,3.048E-1,3.826E-2,-1.057E-2,-1.16E-1,1.662E-2,-1.954E-2,8.676E-2,-8.983E-2,0E0,1.376E-1,4.39E1,3.299E3,3.316E5,6.074E7,dog
4.901E0,3.118E-2,7.527E-3,3.225E2,2.417E-3,9.37E-2,0E0,1.886E1,0E0,0E0,0E0,1.797E1,4.953E0,4.302E0,2.259E0,1.674E0,1.655E0,1.68E0,1.51E0,1.342E0,1.464E0,1.493E0,1.278E0,1.305E0,2.29E-2,2.607E-1,1.893E-1,1.501E-1,1.542E-1,1.023E-1,1.142E-1,9.943E-2,1.134E-1,0E0,2.198E-1,1.202E1,9.934E2,7.37E4,1.469E7,8.092E0,4.262E-2,2.437E-3,1.428E3,2.089E-3,8.322E-2,0E0,2.729E1,0E0,0E0,0E0,-1.358E2,1.366E1,5.086E0,-4.01E-1,1.547E0,1.994E-1,1.433E0,2.071E-1,-9.503E-1,-1.191E0,-7.355E-1,1.111E-1,-5.612E-1,-9.823E-1,4.393E-1,7.335E-2,2.928E-1,1.627E-1,6.283E-2,-6.692E-2,3.535E-2,-5.764E-2,0E0,1.713E-1,3.034E1,2.269E3,2.515E5,4.342E7,dog
6.77E0,4.717E-2,5.883E-3,2.212E2,3.285E-3,1.264E-1,0E0,1.425E1,0E0,0E0,0E0,2.147E1,8.153E0,8.04E0,4.325E0,3.534E0,2.031E0,3.075E0,2.492E0,2.875E0,2.578E0,1.931E0,1.988E0,1.649E0,3.448E-2,1.332E-1,2.144E-1,1.802E-1,1.699E-1,1.457E-1,1.079E-1,1.413E-1,1.408E-1,0E0,2.641E-1,9.377E0,6.198E2,3.93E4,7.271E6,2.972E1,1.484E-1,3.426E-3,1.502E3,2.422E-3,9.501E-2,0E0,6.388E1,0E0,0E0,0E0,-1.425E2,-1.176E0,-1.276E1,-1.647E0,2.3E0,2.669E0,6.709E-1,-2.595E0,-2.01E0,-6.705E-1,-1.211E0,-1.555E0,-7.342E-3,-9.14E-1,7.704E-1,8.352E-2,2.459E-1,-1.96E-1,1.91E-1,9.514E-2,7.534E-2,8.564E-2,0E0,2.034E-1,4.941E1,2.13E3,1.996E5,3.188E7,dog
2.163E1,1.694E-1,1.743E-3,1.324E2,1.275E-3,5.019E-2,1.751E-2,4.646E1,0E0,9.58E-1,1.037E-3,2.085E1,3.588E0,7.491E0,2.075E0,2.22E0,2.511E0,2.008E0,1.473E0,1.519E0,1.734E0,1.702E0,1.389E0,1.268E0,1.778E-1,4.054E-1,2.966E-1,2.297E-1,2.211E-1,1.685E-1,1.698E-1,1.37E-1,1.273E-1,0E0,1.198E-1,1.757E1,1.343E3,1.178E5,1.534E7,2.264E1,1.48E-1,4.188E-4,1.503E3,6.225E-4,2.5E-2,8.548E-1,6.751E1,6.356E1,1.676E1,1.677E-2,-1.611E2,4.112E0,-1.776E0,-2.126E0,2.519E0,4.811E-1,2.383E0,-7.09E-1,-1.261E-2,-1.528E0,-1.334E0,4.391E-1,-6.662E-2,-8.763E-1,2.631E-1,-3.142E-1,1.094E-1,-7.539E-4,1.346E-1,-3.367E-2,1.643E-3,-1.751E-2,0E0,6.431E-2,5.556E1,3.641E3,2.587E5,5.071E7,dog
6.468E0,4.429E-2,3.711E-3,2.035E2,2.448E-3,1.038E-1,0E0,1.423E1,0E0,0E0,0E0,4.727E1,7.546E0,6.693E0,2.592E0,2.263E0,1.922E0,2.265E0,1.365E0,1.915E0,1.741E0,1.722E0,2.199E0,1.206E0,3.181E-2,1.506E-1,2.394E-1,1.985E-1,1.328E-1,1.122E-1,8.505E-2,9.483E-2,8.796E-2,0E0,2.868E-1,5.337E0,8.633E2,8.959E4,1.7E7,3.493E1,1.905E-1,1.856E-3,1.525E3,1.473E-3,6.289E-2,0E0,7.408E1,0E0,0E0,0E0,-1.637E2,-7.144E0,-1.387E1,-2.107E0,-1.614E0,9.93E-1,-1.604E0,-5.146E-1,-1.735E-1,6.791E-1,-4.426E-1,-1.08E0,-1.019E0,-8.875E-1,8.018E-1,-2.653E-1,1.088E-1,1.973E-1,9.293E-2,5.521E-2,1.163E-1,6.976E-2,0E0,1.759E-1,5.142E1,1.698E3,1.554E5,2.647E7,dog
7.042E0,3.368E-2,3.932E-3,1.364E2,2.258E-3,8.448E-2,7.877E-2,1.293E1,0E0,0E0,0E0,2.389E1,5.669E0,4.679E0,3.725E0,4.174E0,2.726E0,2.041E0,2.128E0,2.127E0,2.27E0,2.168E0,2E0,2.471E0,1.621E-2,2.02E-1,2.253E-1,1.418E-1,1.328E-1,1.273E-1,9.5E-2,9.115E-2,9.648E-2,0E0,1.651E-1,6.899E0,6.655E2,8.034E4,1.485E7,1.338E1,6.934E-2,1.589E-3,1.52E3,1.887E-3,7.391E-2,6.901E-1,3.181E1,0E0,0E0,0E0,-1.454E2,1.351E1,-6.457E0,-1.617E0,-3.609E0,-7.457E-1,-2.735E-1,-9.256E-1,5.068E-1,-2.081E-1,7.611E-1,5.802E-1,-1.166E0,-9.751E-1,7.435E-1,9.049E-2,3.009E-2,-5.011E-2,4.263E-2,5.925E-2,1.329E-2,-4.829E-2,0E0,1.384E-1,2.764E1,1.356E3,1.617E5,2.814E7,dog
