@relation jAudio
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average4" NUMERIC
@ATTRIBUTE classe {dog, cat}
@DATA
6.577E0,4.75E-2,3.388E-3,1.809E2,1.826E-3,6.97E-2,1.748E-2,1.208E1,0E0,0E0,0E0,2.16E1,3.93E0,3.77E0,1.813E0,1.857E0,1.954E0,1.899E0,1.629E0,1.97E0,1.761E0,1.758E0,1.538E0,1.146E0,3.114E-2,1.917E-1,2.554E-1,1.631E-1,1.315E-1,1.414E-1,1.467E-1,9.709E-2,1.019E-1,0E0,1.726E-1,1.111E1,1.094E3,9.624E4,1.795E7,3.271E1,1.681E-1,1.618E-3,1.499E3,2.04E-3,8.265E-2,6.396E-1,6.901E1,0E0,0E0,0E0,-1.245E2,-9.286E-1,-1.337E1,-1.686E0,1.304E0,8.504E-1,7.047E-1,-2.03E0,-2.774E0,-2.698E-1,5.526E-1,-1.086E0,-5.518E-1,-9.022E-1,7.398E-1,1.436E-1,5.769E-3,-4.09E-2,1.183E-1,1.285E-1,1.919E-1,1.25E-1,0E0,2.139E-1,5.38E1,2.592E3,2.676E5,4.573E7, dog
7.381E0,3.564E-2,3.562E-3,1.359E2,2.995E-3,1.114E-1,0E0,1.387E1,0E0,0E0,0E0,3.755E1,5.771E0,9.5E0,4.652E0,3.749E0,2.516E0,2.226E0,2.23E0,2.23E0,2.224E0,2.09E0,2.053E0,2.283E0,1.762E-2,1.877E-1,2.315E-1,1.475E-1,1.376E-1,1.099E-1,8.846E-2,9.898E-2,1.076E-1,0E0,2.209E-1,4.798E0,5.533E2,8.061E4,1.592E7,1.383E1,7.651E-2,1.832E-3,1.527E3,1.816E-3,6.998E-2,0E0,3.286E1,0E0,0E0,0E0,-1.688E2,1.079E1,-7.917E0,-3.144E0,-1.479E0,1.184E0,2.202E-1,5.098E-1,6.034E-1,-8.786E-3,2.212E-1,-1.924E0,-1.326E0,-9.732E-1,7.558E-1,4.353E-2,-6.242E-2,2.046E-2,5.825E-3,9.447E-3,3.201E-2,2.303E-3,0E0,1.345E-1,2.769E1,1.288E3,1.64E5,2.977E7, dog
5.706E0,4.105E-2,1.298E-2,1.341E2,3.909E-3,1.487E-1,3.124E-2,1.296E1,0E0,0E0,0E0,4.56E1,7.877E0,8.329E0,3.31E0,2.963E0,2.404E0,2.285E0,2.587E0,2.163E0,2.107E0,2.221E0,2.378E0,1.766E0,2.776E-2,1.476E-1,2.202E-1,2.532E-1,1.897E-1,1.479E-1,1.21E-1,8.856E-2,8.628E-2,0E0,3.638E-1,7.867E0,7.151E2,5.129E4,7.556E6,2.537E1,1.287E-1,6.208E-3,1.536E3,2.764E-3,1.106E-1,7.156E-1,5.644E1,0E0,0E0,0E0,-1.504E2,1.835E-1,-1.286E1,-4.7E0,-4.553E0,5.959E-1,3.451E-1,9.028E-1,-1.804E-1,-2.083E0,-1.442E0,-2.59E-1,1.242E0,-9.348E-1,7.996E-1,-2.808E-1,2.438E-1,1.294E-2,1.697E-1,6.473E-2,2.817E-2,4.342E-2,0E0,2.621E-1,4.034E1,1.116E3,6.835E4,8.813E6, dog
5.656E0,4.134E-2,8.703E-3,2.041E2,3.614E-3,1.29E-1,2.496E-2,1.156E1,0E0,0E0,0E0,2.401E1,8.308E0,5.585E0,5.005E0,3.429E0,5.946E0,5.035E0,5.864E0,7.457E0,3.763E0,6.138E0,4.26E0,2.896E0,2.209E-2,7.529E-2,3.249E-1,2.082E-1,1.29E-1,1.236E-1,1.276E-1,1.108E-1,9.882E-2,0E0,2.17E-1,7.645E0,3.261E2,2.265E4,3.402E6,2.191E1,9.902E-2,5.356E-3,1.713E3,7.436E-3,2.812E-1,3.983E-1,4.272E1,0E0,0E0,0E0,-1.39E2,-1.524E0,-1.75E1,-1.043E1,-6.31E0,3.359E0,6.27E-1,2.906E0,-4.707E-1,1.498E0,-9.484E-1,-4.995E0,-1.933E-1,-9.568E-1,8.905E-1,-3.147E-2,1.075E-1,1.185E-1,1.433E-1,1.215E-1,1.06E-1,1.405E-1,0E0,3.674E-1,3.047E1,4.926E2,3.17E4,3.619E6, dog
1.832E1,1.194E-1,6.133E-3,1.43E2,2.447E-3,9.7E-2,1.761E-2,3.772E1,0E0,0E0,0E0,3.645E1,9.583E0,7.938E0,2.947E0,2.181E0,2.521E0,2.683E0,2.044E0,2.765E0,1.93E0,2.649E0,1.892E0,1.896E0,8.948E-2,4.795E-1,2.493E-1,1.979E-1,1.63E-1,1.372E-1,1.323E-1,1.371E-1,1.358E-1,0E0,2.104E-1,1.832E1,1.497E3,1.668E5,3.159E7,1.495E1,9.061E-2,2.121E-3,1.515E3,1.052E-3,4.26E-2,8.635E-1,3.599E1,0E0,0E0,0E0,-1.926E2,-3.761E0,-5.688E0,1.965E0,3.556E0,4.032E0,3.876E0,-2.469E-1,-1.961E0,1.666E-2,2.906E0,-3.674E-1,-1.22E0,-9.366E-1,3.307E-1,-1.704E-1,5.769E-2,-4.623E-2,1.346E-2,-3.191E-2,3.206E-2,-3.172E-3,0E0,8.701E-2,4.03E1,2.711E3,2.813E5,5.358E7, dog
1.005E1,9.596E-2,3.955E-3,2.041E2,2.482E-3,9.818E-2,1.165E-2,2.49E1,0E0,0E0,0E0,2.785E1,5.114E0,3.89E0,3.106E0,2.808E0,2.658E0,2.181E0,2.603E0,2.019E0,2.182E0,2.067E0,2.537E0,1.782E0,6.819E-2,3.245E-1,1.786E-1,1.832E-1,1.6E-1,1.326E-1,1.351E-1,1.031E-1,1.112E-1,0E0,2.187E-1,1.71E1,1.321E3,7.906E4,1.595E7,2.357E1,1.368E-1,1.788E-3,1.472E3,1.831E-3,7.406E-2,6.975E-1,5.9E1,0E0,0E0,0E0,-1.354E2,5.022E0,-1.699E0,-2.93E0,-3.691E0,-3.338E0,-4.54E-1,-6.79E-1,-4.973E-1,-5.058E-1,-1.343E0,-1.069E0,-2.896E-1,-9.102E-1,3.497E-1,1.586E-2,1.716E-1,-5.323E-2,7.583E-2,4.886E-2,9.419E-2,7.709E-2,0E0,1.804E-1,5.723E1,3.679E3,2.985E5,5.498E7, dog
5.084E0,3.959E-2,3.695E-3,1.751E2,2.441E-3,8.52E-2,3.532E-2,1.153E1,0E0,0E0,0E0,1.873E1,6.361E0,3.798E0,2.532E0,3.131E0,2.738E0,2.31E0,2.055E0,2.655E0,2.475E0,2.532E0,5.17E0,4.069E0,1.813E-2,6.581E-2,2.705E-1,1.438E-1,1.64E-1,1.297E-1,1.093E-1,1.011E-1,8.728E-2,0E0,1.851E-1,4.506E0,1.851E2,2.705E4,5.609E6,2.05E1,1.127E-1,1.556E-3,1.674E3,2.183E-3,8.22E-2,8.016E-1,4.464E1,0E0,0E0,0E0,-1.396E2,1.399E1,-1.511E1,-8.931E-1,-1.951E0,-5.026E-1,-1.269E0,2.946E0,-4.97E0,-2.228E0,-1.936E0,-5.55E0,1.015E0,-9.572E-1,8.878E-1,-1.456E-1,-1.893E-1,6.178E-2,4.685E-2,1.16E-1,9.779E-2,1.206E-1,0E0,1.642E-1,2.853E1,7.047E2,8.3E4,1.58E7, dog
4.065E0,2.788E-2,2.828E-3,2.243E2,1.545E-3,5.799E-2,0E0,9.141E0,0E0,0E0,0E0,1.429E1,7.137E0,3.26E0,2.386E0,2.924E0,2.452E0,1.993E0,2.544E0,2.66E0,3.284E0,2.788E0,3.365E0,2.959E0,1.341E-2,6.498E-2,2.332E-1,1.668E-1,1.992E-1,1.238E-1,1.033E-1,7.212E-2,7.898E-2,0E0,8.726E-2,5.349E0,2.979E2,4.17E4,8.475E6,1.827E1,1.054E-1,6.565E-4,1.699E3,1.246E-3,4.808E-2,0E0,3.992E1,0E0,0E0,0E0,-1.48E2,1.496E1,-1.122E1,-1.478E-1,-7.487E-1,8.367E-1,-3.097E-1,2.423E0,-3.763E0,-2.621E-1,-3.234E0,-2.514E0,-6.668E-1,-9.643E-1,8.813E-1,-4.734E-2,-2.707E-1,5.938E-2,8.377E-3,5.262E-2,2.368E-2,8.071E-2,0E0,8.676E-2,2.792E1,9.131E2,1.232E5,2.446E7, dog
3.525E0,3.679E-2,1.461E-3,1.968E2,2.104E-3,7.824E-2,1.088E-2,1.042E1,0E0,0E0,0E0,7.507E0,4.032E0,3.112E0,2.672E0,1.808E0,2.321E0,2.743E0,2.184E0,1.804E0,2.71E0,3.779E0,3.91E0,2.503E0,1.538E-2,4.061E-2,3.147E-1,1.41E-1,1.593E-1,1.124E-1,1.145E-1,1.039E-1,8.332E-2,0E0,1.141E-1,2.46E0,2.341E2,3.017E4,5.796E6,2.109E1,1.108E-1,1.108E-3,1.83E3,5.644E-3,2.146E-1,5.639E-1,4.298E1,0E0,0E0,0E0,-1.213E2,1.631E1,-1.541E1,-1.513E0,-2.674E0,-1.808E0,-4.23E0,3.045E0,-6.398E0,-6.929E0,3.892E-1,-5.836E0,2.653E0,-9.576E-1,9.121E-1,-1.828E-1,-1.661E-1,1.904E-2,6.633E-2,1.627E-1,1.368E-1,1.218E-1,0E0,3.398E-1,2.761E1,5.896E2,6.457E4,1.169E7, dog
3.646E0,3.01E-2,2.514E-3,1.956E2,3.127E-3,1.143E-1,1.454E-2,8.958E0,0E0,0E0,0E0,1.122E1,2.528E0,4.039E0,2.082E0,2.343E0,2.234E0,2.961E0,2.298E0,3.121E0,2.927E0,3.148E0,4.259E0,4.72E0,1.196E-2,6.78E-2,3.248E-1,1.603E-1,1.077E-1,9.079E-2,9.795E-2,9.142E-2,9.244E-2,0E0,1.25E-1,3.35E0,2.491E2,2.209E4,3.649E6,1.825E1,9.138E-2,1.661E-3,1.786E3,7.433E-3,2.801E-1,5.307E-1,3.849E1,0E0,0E0,0E0,-1.201E2,1.634E1,-1.357E1,-2.735E0,-1.757E0,-2.658E0,-3.62E0,1.201E0,-4.844E0,-6.874E0,-1.32E0,-8.29E0,7.946E-1,-9.678E-1,9.048E-1,-3.791E-2,-9.852E-2,-6.303E-3,2.557E-2,1.125E-1,1.105E-1,9.431E-2,0E0,3.931E-1,2.475E1,5.415E2,6.001E4,1.07E7, dog
