@relation jAudio
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average4" NUMERIC
@DATA
2.489E1,1.454E-1,3.6E-3,3.104E2,2.7E-3,1.067E-1,0E0,4.894E1,0E0,0E0,0E0,4.119E1,7.407E0,5.342E0,2.676E0,2.035E0,4.08E0,3.319E0,2.401E0,3.66E0,4.568E0,5.504E0,2.684E0,5.336E0,1.569E-1,3.144E-1,3.673E-1,4.066E-1,2.114E-1,2.89E-1,1.347E-1,1.228E-1,1.988E-1,0E0,2.898E-1,2.039E1,1.298E3,1.112E5,1.987E7,4.273E1,2.584E-1,2.957E-3,1.651E3,4.344E-3,1.692E-1,0E0,9.583E1,0E0,0E0,0E0,-1.327E2,-5.718E0,3.089E0,2.295E-1,-1.396E0,8.8E-1,3.359E-1,3.928E0,5.087E0,-1.544E0,-3.037E0,-3.328E0,2.114E0,-7.659E-1,4.179E-1,-2.852E-1,7.471E-2,-2.998E-1,1.155E-1,-1.581E-1,5.626E-2,9.27E-2,0E0,4.041E-1,6.623E1,3.363E3,1.889E5,3.914E7
1.687E1,4.267E-2,2.493E-3,1.513E2,2.346E-3,8.835E-2,5.936E-2,2.968E1,7.596E1,2.755E1,1.098E-3,1.202E1,4.023E0,1.881E0,2.981E0,3.111E0,2.203E0,1.659E0,1.533E0,1.471E0,1.347E0,1.263E0,1.379E0,1.3E0,9.547E-2,8.255E-2,1.994E-1,1.985E-1,1.115E-1,1.049E-1,1.091E-1,7.488E-2,7.419E-2,0E0,1.204E-1,8.46E0,3.552E2,3.552E4,5.943E6,3.701E1,2.13E-1,9.796E-4,1.594E3,2.056E-3,8.13E-2,7.113E-1,8.336E1,1.805E2,1.799E2,1.282E-2,-1.209E2,4.959E0,-7.958E0,7.75E0,-5.288E0,3.413E0,-1.357E0,-6.176E-1,5.252E-1,-1.551E0,-4.54E-1,-2.076E-1,-1.04E0,-8.57E-1,8.69E-1,-5.852E-1,-1.382E-3,1.768E-1,1.163E-1,-1.072E-1,-9.26E-2,-1.902E-2,0E0,1.83E-1,4.32E1,9.428E2,5.787E4,1.037E7
1.833E1,1.356E-1,4.832E-3,1.435E2,1.486E-3,5.601E-2,1.574E-1,3.833E1,7.274E1,2.163E0,6.978E-3,1.567E1,6.939E0,3.043E0,2.595E0,2.088E0,1.866E0,1.775E0,1.872E0,1.899E0,1.942E0,2.575E0,2.286E0,2.148E0,1.159E-1,2.786E-1,1.714E-1,1.684E-1,1.12E-1,1.086E-1,1.201E-1,1.056E-1,8.466E-2,0E0,1.061E-1,1.626E1,1.076E3,8.322E4,1.55E7,2.527E1,1.637E-1,4.553E-4,1.61E3,3.77E-4,1.496E-2,7.245E-1,6.602E1,1.289E2,2.573E0,1.65E-2,-1.751E2,1.517E0,2.441E0,9.191E-1,1.714E0,-2.373E-1,-1.905E0,-7.092E-1,3.924E-1,-5.396E-1,-1.265E0,-1.711E0,-7.576E-1,-8.817E-1,2.451E-1,-1.415E-1,1.06E-1,2.73E-2,8.904E-2,-6.455E-2,5.535E-2,-1.888E-2,0E0,3.481E-2,6.233E1,3.909E3,2.849E5,5.473E7
4.025E1,2.187E-1,6.275E-3,2.07E2,1.807E-3,8.091E-2,9.345E-2,7.521E1,5.754E0,2.577E0,8.906E-3,3.998E1,1.555E1,6.77E0,3.475E0,3.947E0,3.334E0,3.267E0,3.732E0,4.887E0,4.115E0,4.091E0,3.929E0,3.752E0,2.938E-1,3.381E-1,2.125E-1,2.007E-1,1.677E-1,1.267E-1,1.759E-1,1.492E-1,1.225E-1,0E0,3.249E-1,3.597E1,1.069E3,1.506E5,2.342E7,5.075E1,2.754E-1,1.255E-3,1.535E3,8.691E-4,3.679E-2,6.331E-1,1.018E2,2.195E2,7.741E0,2.042E-2,-1.87E2,-1.265E1,-5.679E-1,-1.621E0,-2.054E0,-1.559E0,3.038E-1,1.172E0,2.577E0,-3.707E-1,-2.333E0,-1.424E0,1.089E0,-6.783E-1,4.002E-1,-5.095E-2,2.163E-1,-4.008E-2,7.443E-2,-9.838E-2,3.568E-2,3.475E-2,0E0,1.271E-1,7.474E1,3.148E3,1.991E5,4.248E7
8.384E0,6.25E-2,6E-3,2.34E2,2.923E-3,1.101E-1,2.943E-2,1.871E1,0E0,0E0,0E0,3.254E1,6.091E0,5.495E0,3.529E0,4.338E0,3.227E0,2.504E0,3.37E0,4.282E0,4.562E0,3.986E0,3.572E0,4.248E0,4.152E-2,2.208E-1,2.872E-1,1.9E-1,1.665E-1,1.214E-1,1.278E-1,1.335E-1,1.141E-1,0E0,1.674E-1,1.18E1,1.078E3,9.451E4,1.725E7,1.929E1,1.063E-1,2.151E-3,1.59E3,3.567E-3,1.356E-1,4.592E-1,4.206E1,0E0,0E0,0E0,-1.4E2,6.225E0,-5.348E0,-9.803E-1,-2.873E0,-1.895E0,-1.683E0,-3.105E0,1.823E0,2.695E0,3.755E0,4.35E-1,-4.315E0,-9.533E-1,7.434E-1,-1.417E-1,4.955E-3,7.109E-2,5.513E-2,2.712E-2,4.767E-2,1.403E-2,0E0,2.006E-1,3.688E1,1.638E3,1.624E5,2.855E7
1.943E1,1.389E-1,2.791E-3,2.801E2,2.328E-3,8.115E-2,0E0,3.891E1,0E0,0E0,0E0,4.923E1,7.427E0,3.766E0,2.898E0,2.838E0,3.455E0,2.088E0,1.553E0,2.747E0,2.805E0,2.127E0,1.904E0,2.738E0,1.055E-1,3.263E-1,1.789E-1,1.358E-1,2.558E-1,1.254E-1,1.189E-1,1.663E-1,1.38E-1,0E0,2.734E-1,2.128E1,1.228E3,1.203E5,2.12E7,2.139E1,1.462E-1,2.916E-3,1.505E3,3.715E-3,1.389E-1,0E0,5.751E1,0E0,0E0,0E0,-1.255E2,-6.286E-1,-2.088E-1,3.247E0,-1.23E0,1.643E0,6.413E-1,7.294E-1,3.597E0,2.879E-1,-4.998E-1,-1.769E0,7.217E-2,-8.903E-1,3.57E-1,-1.511E-1,-7.334E-3,-2.87E-1,-8.225E-2,-1.172E-1,1.011E-1,-1.042E-1,0E0,3.948E-1,5.583E1,3.433E3,2.522E5,5.02E7
9.62E0,1.098E-1,1.829E-3,4.215E2,1.569E-3,4.797E-2,0E0,2.376E1,0E0,0E0,0E0,4.392E1,9.918E0,5.09E0,1.452E0,2.108E0,1.852E0,1.96E0,2.199E0,2.392E0,1.692E0,1.968E0,1.907E0,1.669E0,6.044E-2,2.546E-1,2.017E-1,8.755E-2,1.936E-1,9.94E-2,1.909E-1,6.563E-2,9.201E-2,0E0,2.736E-1,2.72E1,1.327E3,7.78E4,1.487E7,7.663E0,8.7E-2,1.302E-3,1.504E3,6.725E-3,2.097E-1,0E0,1.925E1,0E0,0E0,0E0,-1.321E2,-2.699E0,-4.6E0,-7.084E-1,-1.369E0,-1.494E0,-6.86E-1,-2.407E0,-1.38E0,-2.605E-1,6.57E-1,1.867E0,3.549E-1,-9.489E-1,2.817E-1,-1.331E-1,-5.214E-3,-1.95E-1,-3.687E-2,-1.706E-1,-4.39E-2,-7.939E-2,0E0,4.139E-1,3.736E1,2.283E3,1.809E5,3.506E7
1.782E1,1.015E-1,1.483E-2,4.416E2,5.224E-3,1.997E-1,0E0,3.852E1,0E0,0E0,0E0,4.737E1,1.043E1,8.425E0,4.101E0,3.731E0,3.008E0,4.202E0,2.963E0,3.201E0,2.623E0,2.422E0,3.33E0,3.018E0,9.172E-2,3.742E-1,2.708E-1,1.071E-1,1.795E-1,1.304E-1,1.35E-1,1.164E-1,8.109E-2,0E0,3.238E-1,2.024E1,1.007E3,8.858E4,1.683E7,1.533E1,8.326E-2,6.808E-3,1.462E3,4.974E-3,1.791E-1,0E0,3.179E1,0E0,0E0,0E0,-1.53E2,4.702E0,-4.172E0,-6.854E-1,-3.077E0,-6.768E-1,-7.892E-2,4.612E-1,1.798E0,6.885E-2,-3.441E0,-3.545E0,-2.26E-2,-9.406E-1,4.711E-1,-6.045E-2,4.986E-2,-6.461E-2,2.602E-2,2.378E-2,-3.748E-3,-2.705E-2,0E0,2.941E-1,2.766E1,1.313E3,1.279E5,2.179E7
2.477E1,2.166E-1,2.015E-3,4.671E2,2.353E-3,8.246E-2,0E0,4.092E1,0E0,0E0,0E0,6.756E1,1.078E1,2.574E0,2.377E0,3.115E0,2.02E0,1.534E0,1.933E0,2.106E0,2.088E0,2.257E0,2.374E0,1.514E0,2.222E-1,2.527E-1,2.15E-1,1.009E-1,2.221E-1,1.223E-1,1.958E-1,9.883E-2,1.227E-1,0E0,3.34E-1,3.471E1,1.338E3,1.412E5,2.233E7,2.158E1,2.114E-1,1.918E-3,1.484E3,4.888E-3,1.651E-1,0E0,4.933E1,0E0,0E0,0E0,-1.414E2,-7.107E0,-1.238E0,-6.543E-1,-2.566E0,-3.096E-1,-9.656E-1,-1.923E0,1.228E-1,8.081E-1,2.066E0,8.747E-1,-1.057E0,-8.223E-1,2.366E-1,-2.622E-1,2.275E-2,-3.01E-1,-1.395E-2,-2.192E-1,4.715E-2,-7.068E-2,0E0,4.631E-1,5.914E1,3.047E3,1.431E5,3.764E7
6.85E1,3.772E-1,2.685E-3,7.341E2,1.692E-3,6.649E-2,4.036E-2,1.314E2,4.247E1,8.23E0,7.815E-4,4.643E2,1.035E1,5.384E0,4.071E0,3.27E0,3.005E0,4.374E0,4.005E0,5.081E0,5.473E0,3.779E0,2.389E0,1.666E0,4.427E-1,3.172E-1,3.571E-1,3.184E-1,2.133E-1,2.17E-1,2.643E-1,2.472E-1,2.132E-1,0E0,1.479E-1,6.804E1,2.668E3,1.981E5,3.011E7,6.804E1,3.814E-1,1.076E-3,8.895E2,1.185E-3,4.733E-2,6.218E-1,1.269E2,7.464E1,6.073E1,1.204E-2,-5.406E2,-9.703E0,-2.919E0,2.074E0,1.274E0,-8.728E-1,-2.157E0,1.625E0,-6.683E-1,-3.136E0,8.445E-1,-5.093E-1,-8.824E-2,-1.182E-1,8.912E-2,1.791E-1,2.602E-1,-5.266E-2,1.328E-1,1.071E-1,1.593E-1,4.35E-2,0E0,1.031E-1,8.108E1,3.168E3,4.437E4,3.39E7
